,plate,well,actual_name,ERCC_reads,Non_ERCC_reads,ERCC_to_non_ERCC,Genes_detected,Age,Age_color,experiment.ID,plate_color,scrublet_score,scrublet_doublet
C1_1000500705,1000500705,C1,C1-1000500705-zsGreen,105340,259303,0.40624289,360,PN120,#2CA02C,7,#FF9896,0.011621472,FALSE
A12_1000500702,1000500702,A12,A12-1000500702-zsGreen,90771,655760,0.138421069,1558,PN120,#2CA02C,7,#2CA02C,0.013986014,FALSE
D10_1000500702,1000500702,D10,D10-1000500702-zsGreen,45182,710376,0.063602937,2815,PN120,#2CA02C,7,#2CA02C,0.048582996,FALSE
C10_1000500702,1000500702,C10,C10-1000500702-zsGreen,70988,582010,0.121970413,1287,PN120,#2CA02C,7,#2CA02C,0.016615385,FALSE
F10_1000500601,1000500601,F10,F10-1000500601-zsGreen,85891,885617,0.096984362,1476,PN21,#98DF8A,6,#1F77B4,0.035897436,FALSE
F9_1000500702,1000500702,F9,F9-1000500702-zsGreen,77,42,1.833333333,1,PN120,#2CA02C,7,#2CA02C,0.009483667,FALSE
G1_1000500702,1000500702,G1,G1-1000500702-zsGreen,158865,40,3971.625,1,PN120,#2CA02C,7,#2CA02C,0.009483667,FALSE
B5_1000500602,1000500602,B5,B5-1000500602-zsGreen,69092,885143,0.078057444,2240,PN21,#98DF8A,6,#AEC7E8,0.041705283,FALSE
H5_1000500601,1000500601,H5,H5-1000500601-zsGreen,58843,716881,0.082081963,2405,PN21,#98DF8A,6,#1F77B4,0.016615385,FALSE
A8_1000500702,1000500702,A8,A8-1000500702-zsGreen,52789,523982,0.100745827,1838,PN120,#2CA02C,7,#2CA02C,0.022869023,FALSE
C8_1000500705,1000500705,C8,C8-1000500705-zsGreen,88361,362087,0.244032512,1069,PN120,#2CA02C,7,#FF9896,0.016615385,FALSE
C6_1000500704,1000500704,C6,C6-1000500704-zsGreen,39704,756854,0.052459259,2628,PN120,#2CA02C,7,#D62728,0.048582996,FALSE
G8_1000500701,1000500701,G8,G8-1000500701-zsGreen,36578,576564,0.063441353,2012,PN120,#2CA02C,7,#FFBB78,0.030927835,FALSE
A4_1000500704,1000500704,A4,A4-1000500704-zsGreen,60510,885975,0.068297638,2294,PN120,#2CA02C,7,#D62728,0.030927835,FALSE
G3_1000500702,1000500702,G3,G3-1000500702-zsGreen,197477,43,4592.488372,1,PN120,#2CA02C,7,#2CA02C,0.007541478,FALSE
G5_1000500601,1000500601,G5,G5-1000500601-zsGreen,80827,787379,0.102653233,1287,PN21,#98DF8A,6,#1F77B4,0.011621472,FALSE
F8_1000500601,1000500601,F8,F8-1000500601-zsGreen,64688,808965,0.079963904,1833,PN21,#98DF8A,6,#1F77B4,0.030927835,FALSE
A5_1000500702,1000500702,A5,A5-1000500702-zsGreen,88467,554420,0.159566754,1470,PN120,#2CA02C,7,#2CA02C,0.011621472,FALSE
A12_1000500705,1000500705,A12,A12-1000500705-zsGreen,109403,295818,0.369832127,440,PN120,#2CA02C,7,#FF9896,0.013986014,FALSE
F10_1000500702,1000500702,F10,F10-1000500702-zsGreen,212757,64,3324.328125,3,PN120,#2CA02C,7,#2CA02C,0.011621472,FALSE
F7_1000500702,1000500702,F7,F7-1000500702-zsGreen,260197,141,1845.368794,11,PN120,#2CA02C,7,#2CA02C,0.011621472,FALSE
A11_1000500701,1000500701,A11,A11-1000500701-zsGreen,34895,443412,0.078696562,1601,PN120,#2CA02C,7,#FFBB78,0.013986014,FALSE
C1_1000500704,1000500704,C1,C1-1000500704-zsGreen,60054,835965,0.071837936,1972,PN120,#2CA02C,7,#D62728,0.030927835,FALSE
A12_1000500601,1000500601,A12,A12-1000500601-zsGreen,56322,681677,0.082622708,1764,PN21,#98DF8A,6,#1F77B4,0.011621472,FALSE
D6_1000500704,1000500704,D6,D6-1000500704-zsGreen,47336,696935,0.067920251,2086,PN120,#2CA02C,7,#D62728,0.030927835,FALSE
A3_1000500704,1000500704,A3,A3-1000500704-zsGreen,55086,856975,0.064279588,2287,PN120,#2CA02C,7,#D62728,0.019556714,FALSE
D11_1000500702,1000500702,D11,D11-1000500702-zsGreen,69644,649544,0.107219834,1844,PN120,#2CA02C,7,#2CA02C,0.026627219,FALSE
C8_1000500704,1000500704,C8,C8-1000500704-zsGreen,30311,937656,0.032326354,3867,PN120,#2CA02C,7,#D62728,0.096153846,FALSE
D10_1000500602,1000500602,D10,D10-1000500602-zsGreen,125732,741583,0.169545418,1172,PN21,#98DF8A,6,#AEC7E8,0.022869023,FALSE
A2_1000500702,1000500702,A2,A2-1000500702-zsGreen,87918,641586,0.137032292,1448,PN120,#2CA02C,7,#2CA02C,0.011621472,FALSE
B7_1000500601,1000500601,B7,B7-1000500601-zsGreen,50056,830777,0.060252029,1975,PN21,#98DF8A,6,#1F77B4,0.019556714,FALSE
F12_1000500702,1000500702,F12,F12-1000500702-zsGreen,98177,101,972.049505,4,PN120,#2CA02C,7,#2CA02C,0.011621472,FALSE
D12_1000500705,1000500705,D12,D12-1000500705-zsGreen,54943,740507,0.074196463,2361,PN120,#2CA02C,7,#FF9896,0.066997519,FALSE
E3_1000500601,1000500601,E3,E3-1000500601-zsGreen,29564,739980,0.039952431,2389,PN21,#98DF8A,6,#1F77B4,0.019556714,FALSE
C6_1000500702,1000500702,C6,C6-1000500702-zsGreen,60135,524167,0.114724887,1848,PN120,#2CA02C,7,#2CA02C,0.019556714,FALSE
D12_1000500704,1000500704,D12,D12-1000500704-zsGreen,27362,341622,0.080094373,3014,PN120,#2CA02C,7,#D62728,0.026627219,FALSE
C2_1000500705,1000500705,C2,C2-1000500705-zsGreen,47596,382781,0.12434264,1766,PN120,#2CA02C,7,#FF9896,0.041705283,FALSE
E1_1000500704,1000500704,E1,E1-1000500704-zsGreen,90514,431310,0.209858339,702,PN120,#2CA02C,7,#D62728,0.019556714,FALSE
B8_1000500702,1000500702,B8,B8-1000500702-zsGreen,33848,508978,0.066501892,2826,PN120,#2CA02C,7,#2CA02C,0.048582996,FALSE
C5_1000500601,1000500601,C5,C5-1000500601-zsGreen,98513,750062,0.131339809,1110,PN21,#98DF8A,6,#1F77B4,0.019556714,FALSE
B9_1000500602,1000500602,B9,B9-1000500602-zsGreen,129390,771028,0.167814917,1086,PN21,#98DF8A,6,#AEC7E8,0.041705283,FALSE
H4_1000500602,1000500602,H4,H4-1000500602-zsGreen,50453,651129,0.077485414,1969,PN21,#98DF8A,6,#AEC7E8,0.016615385,FALSE
A1_1000500602,1000500602,A1,A1-1000500602-zsGreen,51240,661339,0.077479175,2143,PN21,#98DF8A,6,#AEC7E8,0.026627219,FALSE
B10_1000500602,1000500602,B10,B10-1000500602-zsGreen,41693,727288,0.057326671,2463,PN21,#98DF8A,6,#AEC7E8,0.030927835,FALSE
C8_1000500601,1000500601,C8,C8-1000500601-zsGreen,45919,269945,0.170105021,1180,PN21,#98DF8A,6,#1F77B4,0.007541478,FALSE
E5_1000500702,1000500702,E5,E5-1000500702-zsGreen,64606,788525,0.081932722,2334,PN120,#2CA02C,7,#2CA02C,0.041705283,FALSE
B10_1000500701,1000500701,B10,B10-1000500701-zsGreen,17662,437247,0.040393645,2610,PN120,#2CA02C,7,#FFBB78,0.056856187,FALSE
